0,-0.00061056
0.02,-0.014611
0.04,-0.10861
0.06,-0.10161
0.08,-0.088611
0.1,-0.095611
0.12,-0.12061
0.14,-0.14261
0.16,-0.12861
0.18,-0.11061
0.2,-0.085611
0.22,-0.085611
0.24,-0.13161
0.26,-0.17661
0.28,-0.19461
0.3,-0.16261
0.32,-0.14461
0.34,-0.10861
0.36,-0.082611
0.38,-0.042611
0.4,-0.066611
0.42,-0.13161
0.44,-0.19061
0.46,-0.19661
0.48,-0.066611
0.5,0.029389
0.52,0.14039
0.54,-0.049611
0.56,-0.12861
0.58,-0.14461
0.6,-0.20361
0.62,-0.26061
0.64,-0.32561
0.66,-0.30661
0.68,-0.17261
0.7,-0.19761
0.72,-0.16361
0.74,-0.16461
0.76,-0.067611
0.78,0.024389
0.8,0.14939
0.82,0.23539
0.84,0.25139
0.86,0.33539
0.88,0.46239
0.9,0.49139
0.92,0.41839
0.94,0.35839
0.96,0.27039
0.98,0.23439
1,0.33839
1.02,0.41139
1.04,0.52939
1.06,0.63839
1.08,0.73139
1.1,0.65139
1.12,0.59839
1.14,0.39939
1.16,0.39939
1.18,0.062389
1.2,-0.51561
1.22,-0.78761
1.24,-0.60361
1.26,-0.48461
1.28,-0.25061
1.3,-0.059611
1.32,0.13339
1.34,0.30739
1.36,0.49839
1.38,0.70939
1.4,0.99439
1.42,1.2184
1.44,1.5284
1.46,1.4484
1.48,1.1544
1.5,0.93439
1.52,0.89139
1.54,0.92539
1.56,0.83839
1.58,0.90039
1.6,0.99239
1.62,1.2084
1.64,0.32739
1.66,-1.4756
1.68,-2.0666
1.7,-1.9896
1.72,-2.0346
1.74,-1.8166
1.76,-1.7256
1.78,-1.7526
1.8,-1.7536
1.82,-1.8056
1.84,-1.6306
1.86,-1.3476
1.88,-1.0876
1.9,-0.78261
1.92,-0.42961
1.94,-0.017611
1.96,0.35939
1.98,0.78439
2,1.1634
2.02,1.5974
2.04,1.9594
2.06,2.4114
2.08,2.7284
2.1,3.0354
2.12,3.1994
2.14,3.4164
2.16,2.8204
2.18,2.3234
2.2,-1.1986
2.22,-2.3736
2.24,-1.6406
2.26,-1.8656
2.28,-1.0956
2.3,-0.75361
2.32,-0.17361
2.34,0.11239
2.36,0.53239
2.38,0.89439
2.4,1.1854
2.42,1.7564
2.44,0.57539
2.46,-2.6316
2.48,-1.5476
2.5,-1.7296
2.52,-1.0126
2.54,-0.57961
2.56,0.23639
2.58,-0.67061
2.6,-1.9806
2.62,-1.6416
2.64,-1.6856
2.66,-1.4816
2.68,-1.2316
2.7,-1.0016
2.72,-0.75161
2.74,-0.52361
2.76,-0.27161
2.78,-0.044611
2.8,0.18739
2.82,-0.095611
2.84,-0.43361
2.86,-0.83861
2.88,-0.95161
2.9,-0.71661
2.92,-0.59961
2.94,-0.33461
2.96,-0.10861
2.98,0.18439
3,0.41939
3.02,0.67239
3.04,-0.097611
3.06,-0.37261
3.08,-0.040611
3.1,0.010389
3.12,0.34339
3.14,0.56439
3.16,0.88239
3.18,1.1294
3.2,1.3624
3.22,0.21839
3.24,0.24039
3.26,0.68239
3.28,0.68839
3.3,1.3174
3.32,1.3524
3.34,2.0394
3.36,-0.93161
3.38,-1.3086
3.4,-0.69261
3.42,-0.54661
3.44,0.071389
3.46,0.67439
3.48,-1.0676
3.5,-1.4886
3.52,-1.0716
3.54,-1.1626
3.56,-0.76261
3.58,-0.55961
3.6,-0.21561
3.62,-0.12661
3.64,-0.67461
3.66,-0.32461
3.68,-0.33761
3.7,-0.10961
3.72,0.016389
3.74,0.29839
3.76,0.48739
3.78,0.60739
3.8,0.22139
3.82,-0.032611
3.84,-0.24561
3.86,0.076389
3.88,0.21039
3.9,0.56739
3.92,0.82539
3.94,1.2054
3.96,1.4774
3.98,1.7364
4,0.42039
4.02,0.028389
4.04,0.25839
4.06,0.29239
4.08,-0.055611
4.1,-0.14761
4.12,0.14239
4.14,0.20539
4.16,0.49839
4.18,0.64439
4.2,0.95639
4.22,1.1274
4.24,1.4464
4.26,1.6284
4.28,1.9444
4.3,1.8554
4.32,1.9834
4.34,1.7684
4.36,1.2494
4.38,-1.2076
4.4,-0.54261
4.42,-0.38461
4.44,-0.31161
4.46,-1.1186
4.48,-1.6616
4.5,-2.4646
4.52,-2.0256
4.54,-1.8356
4.56,-1.3176
4.58,-0.96061
4.6,-0.32561
4.62,0.15339
4.64,0.81539
4.66,1.3184
4.68,1.8174
4.7,-0.058611
